Provincia,Salario,Haber
Buenos Aires,554815.421052632,335587.704767223
CABA,753758.526315789,457015.97200929
Catamarca,444226.263157895,401725.399511868
Chaco,450034.052631579,321126.290347248
Chubut,690342.578947368,597562.536164213
Córdoba,478487.263157895,315778.247520237
Corrientes,429158.157894737,307697.245892586
Entre Ríos,468545.052631579,274957.670702794
Formosa,446962.578947368,309081.612985206
Jujuy,475229.473684211,382672.493552682
La Pampa,477107.421052632,411769.434721519
La Rioja,419454.368421053,355505.559399765
Mendoza,499048.052631579,416396.257904912
Misiones,403434.947368421,306920.393380088
Neuquén,763416.421052632,568029.848981715
Río Negro,608098.736842105,593374.995628597
Salta,515603.263157895,426323.475799392
San Juan,489425.263157895,447956.961909512
San Luis,478866.263157895,404858.563303427
Santa Cruz,738331.578947368,593168.801560999
Santa Fe,548677.947368421,314546.010744594
Santiago del Estero,382639.210526316,329534.185478552
Tierra del Fuego,795591.526315789,596651.400016158
Tucumán,452479.368421053,418514.716624423
